"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"Hyvot Loan","Hyvots Bank","Hyvot Mill Drive","Hyvot Loan",51.57,1A,P004_Inch_Moredun
"Hyvot Mill Drive","Hyvots Bank","Hyvot Terrace","Gilmerton Dykes Street",87.48,1A,P004_Inch_Moredun
"Hyvot Mill Drive","Hyvots Bank","Hyvot Mill  Road","Hyvot Terrace",70.32,1A,P004_Inch_Moredun
"Hyvot Mill Drive","Hyvots Bank","Hyvot Avenue","Hyvot Mill  Road",179.3,1A,P004_Inch_Moredun
"Hyvot Mill Drive","Hyvots Bank","Hyvot Loan","Hyvot Avenue",65.61,1A,P004_Inch_Moredun
"Inchview Terrace",Craigentinny,"Bryce Avenue","Goff Avenue",80.41,1B,P022_Northfield
"Inchview Terrace",Craigentinny,"Moira Terrace","Kekewich Avenue",59.32,1B,P022_Northfield
"Inchview Terrace",Craigentinny,"Goff Avenue","Wakefield Avenue",83.87,1B,P022_Northfield
"Inchview Terrace",Craigentinny,"Kekewich Avenue","Bryce Avenue",81.4,1B,P022_Northfield
"Inchview Terrace",Craigentinny,"Wakefield Avenue","Inchview Terrace",109.9,1B,P022_Northfield
"India Place",Stockbridge,"Gloucester Street","North West Circus Place",61.78,1B,P027_Stockbridge
"Inglis Green Road",Kingsknowe,"Longstone Road","Redhall Avenue",48.13,1B,P012_Kingsknowe
"Inglis Green Road",Kingsknowe,"Redhall Avenue","Redhall Drive",152.5,1B,P012_Kingsknowe
"Inglis Green Road",Kingsknowe,"Inglis Green Road","Lanark Road",121.5,1B,P012_Kingsknowe
"Inglis Green Road",Kingsknowe,"Redhall Drive","Inglis Green Road",161.6,1B,P012_Kingsknowe
"Innocent Railway Path",Duddingston,"St Leonard's Lane","Innocent Railway Path",462.2,1B,CYC002_CityIR
"Innocent Railway Path",Duddingston,"Innocent Railway Path","Duddingston Road West",1353,1B,CYC002_CityIR
"Innocent Railway Path",Duddingston,"Innocent Railway Path","Innocent Railway Path",532.2,1B,CYC002_CityIR
"Inverleith Gardens",Craigleith,"Wardie Road","Bowhill Terrace",158.1,1B,P026_Trinity
"Inverleith Row",Inverleith,"Bangholm Terrace","Inverleith Place",63.18,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Eildon Street","Inverleith Terrace",167.6,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Inverleith Gardens","Royston Terrace",119.7,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Warriston Drive","Eildon Street",172.3,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Warriston Gardens","Warriston Drive",125.2,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Inverleith Place","Warriston Gardens",90.36,1B,P027_Stockbridge
"Inverleith Row",Inverleith,"Royston Terrace","Bangholm Terrace",138.7,1B,P027_Stockbridge
"Inverleith Terrace",Inverleith,"Inverleith Row","Arboretum Place",612.8,1B,P027_Stockbridge
"Iona Street",Albion,"Buchanan Street","Leith Walk",92.57,1B,"P025_Leith Route"
"Iona Street",Albion,"Sloan Street","Buchanan Street",151,1B,"P025_Leith Route"
"Iona Street",Albion,"Dickson Street","Sloan Street",97.04,1B,"P025_Leith Route"
"Iona Street",Albion,"Easter Road","Dickson Street",94.08,1B,"P025_Leith Route"
"Ivanhoe Crescent",Liberton,"Glenvarloch Crescent","Woodstock Place",67.27,1A,P004_Inch_Moredun
"Ivanhoe Crescent",Liberton,"Woodstock Place","Rutherford Drive",262.3,1A,P004_Inch_Moredun
"Jameson Place",Albion,"Jameson Place","End of cul de sac",22.49,1B,"P025_Leith Route"
"Jameson Place",Albion,"Leith Walk","Jameson Place",105.1,1B,"P025_Leith Route"
"Jawbone Walk",Newington,"North Meadow Walk","Melville Drive",320.1,1A,P002_CityCentreSouth
"Jeffrey Street","Old Town","East Market Street","High Street",269.8,1A,P001_CityCentreNorth
"Jock's Lodge",Willowbrae,"Portobello Road","Wolseley Crescent",60.14,1B,P024_Lochend_Restalr
"Jock's Lodge",Willowbrae,"Wolseley Crescent","Hillend Place",53.58,1B,P024_Lochend_Restalr
"John Street Lane West","Portobello East","Elcho Terrace","End of cul de sac",121.7,1B,P023_Portobello
"Johnsburn Road",Balerno,"Lovedale Road","Main Street",118.1,1A,P007_Balerno
"Johnsburn Road",Balerno,"Burnside Park","Lovedale Road",108.3,1A,P007_Balerno
"Johnsburn Road",Balerno,"Lovedale Avenue","Burnside Park",136.9,1A,P007_Balerno
"Johnsburn Road",Balerno,"Johnsburn Green","Lovedale Avenue",156.6,1A,P007_Balerno
"Johnsburn Road",Balerno,"Johnsburn Haugh","Johnsburn Green",116.5,1A,P007_Balerno
"Johnsburn Road",Balerno,"Johnsburn Road","Johnsburn Haugh",101.8,1A,P007_Balerno
"Johnsburn Road",Balerno,"Glenbrook Road","Johnsburn Road",65.47,1A,P007_Balerno
"Joppa Road","Portobello East","Coillesdene Drive","Joppa Park",92.03,1B,P023_Portobello
"Joppa Road","Portobello East","Joppa Road","Brunstane Road North",149.9,1B,P023_Portobello
"Joppa Road","Portobello East","Morton Street","Joppa Road",40.8,1B,P023_Portobello
"Joppa Road","Portobello East","Joppa Park","Morton Street",196.6,1B,P023_Portobello
"Kilgraston Road",Grange,"Grange Loan","Oswald Road",127,1B,P017_Morningside_Bru
"Kilgraston Road",Grange,"Hope Terrace","Blackford Road",113.3,1B,P017_Morningside_Bru
"Kilgraston Road",Grange,"Monkwood Court","Grange Loan",85.38,1B,P017_Morningside_Bru
"Kilgraston Road",Grange,"Blackford Road","Monkwood Court",105.8,1B,P017_Morningside_Bru
"Kilgraston Road",Grange,"Strathearn Road","Hope Terrace",129.3,1B,P017_Morningside_Bru
"King's Haugh",Craigmillar,"End of cul de sac","King's Haugh",164.4,1B,P021_Duddingston
"King's Haugh",Craigmillar,"King's Haugh","End of cul de sac",46.04,1B,P021_Duddingston
"King's Haugh",Craigmillar,"King's Haugh","End of cul de sac",228.7,1B,P021_Duddingston
"King's Haugh",Craigmillar,"King's Haugh","King's Haugh",93.2,1B,P021_Duddingston
"King's Haugh",Craigmillar,"Peffermill Road","King's Haugh",221.2,1B,P021_Duddingston
"Kingsknowe Road North",Kingsknowe,"Kingsknowe Road South","Peatville Gardens",43.98,1B,P012_Kingsknowe
"Kingsknowe Road North",Kingsknowe,"Peatville Gardens","Peatville Terrace",158.6,1B,P012_Kingsknowe
"Kingsknowe Road North",Kingsknowe,"Redhall Gardens","Longstone Road",146.1,1B,P012_Kingsknowe
"Kingsknowe Road North",Kingsknowe,"Longstone Grove","Redhall Gardens",162.1,1B,P012_Kingsknowe
"Kingsknowe Road North",Kingsknowe,"Redhall Road","Longstone Grove",151.6,1B,P012_Kingsknowe
"Kingsknowe Road North",Kingsknowe,"Peatville Terrace","Redhall Road",165.4,1B,P012_Kingsknowe
"Kingsknowe Road South",Kingsknowe,"Kingsknowe Drive","Kingsknowe Road South",49.39,1B,P012_Kingsknowe
"Kingsknowe Road South",Kingsknowe,"Kingsknowe Road North","Kingsknowe Road South",36.35,1B,P012_Kingsknowe
"Kingsknowe Road South",Kingsknowe,"Kingsknowe Avenue","Kingsknowe Drive",276.2,1B,P012_Kingsknowe
"Kingsknowe Road South",Kingsknowe,"Kingsknowe Gardens","Kingsknowe Avenue",67.24,1B,P012_Kingsknowe
"Kingsknowe Road South",Kingsknowe,"Lanark Road","Kingsknowe Gardens",185.8,1B,P012_Kingsknowe
"Kingston Avenue",Inch,"Ochiltree Gardens","Kingston Avenue",170.1,1A,P004_Inch_Moredun
"Kingston Avenue",Inch,"Old Dalkeith Road","Ochiltree Gardens",129.2,1A,P004_Inch_Moredun
"Kingston Avenue",Inch,"Kingston Avenue","Mount Vernon Road",326.2,1A,P004_Inch_Moredun
"Kirk Brae",Liberton,"Braefoot Terrace","Double Hedges Road",135.5,1A,P003_Liberton
"Kirk Brae",Liberton,"Double Hedges Road","Orchardhead Road",202.8,1A,P003_Liberton
"Kirk Brae",Liberton,"Orchardhead Road","Claverhouse Drive",119.5,1A,P003_Liberton
"Kirk Brae",Liberton,"Peveril Terrace","Wolrige Road",65.02,1A,P003_Liberton
"Kirk Brae",Liberton,"Claverhouse Drive","Peveril Terrace",61.74,1A,P003_Liberton
"Kirk Brae",Liberton,"Kirk Park","Springwood Park",31.4,1A,P003_Liberton
"Kirk Brae",Liberton,"Wolrige Road","Kirk Park",146,1A,P003_Liberton
"Kirk Brae",Liberton,"Springwood Park",Kirkgate,101,1A,P003_Liberton
Kirkgate,"North Leith",Kirkgate,Newkirkgate,112.4,1B,"P025_Leith Route"
Kirkgate,"North Leith",Kirkgate,"End of cul de sac",51.49,1B,"P025_Leith Route"
Kirkgate,Liberton,"Lasswade Road","Liberton Brae",238.4,1A,P003_Liberton
"Kirkliston Road","South Queensferry","Burgess Road","Viewforth Place",92.97,1B,"P015_South Queensfer"
"Kirkliston Road","South Queensferry","End of cul de sac","Rosebery Avenue",38.6,1B,"P015_South Queensfer"
"Kirkliston Road","South Queensferry","A8000 - Kirkliston to South Queensferry","Scotstoun Avenue",38.3,1B,"P015_South Queensfer"
"Kirkliston Road","South Queensferry","Lovers' Lane","Scotstoun Avenue",67.17,1B,"P015_South Queensfer"
"Kirkliston Road","South Queensferry","Rosebery Avenue","Lovers' Lane",194.2,1B,"P015_South Queensfer"
"Kirkliston Road","South Queensferry","The Loan","Burgess Road",50.57,1B,"P015_South Queensfer"
"Lady Road",Mayfield,"Lady Road","Cameron Toll",233.8,1A,P003_Liberton
"Lady Road",Mayfield,"Lady Road","Gordon Terrace",137,1A,P003_Liberton
Ladycroft,Balerno,"Main Street","End of cul de sac",87.04,1A,P007_Balerno
"Ladywell Avenue",Broomhall,"Castle Avenue","Broomhall Avenue",248.6,1B,P013_Corstorphine
"Ladywell Avenue",Broomhall,"Dovecot Road","Castle Avenue",94.62,1B,P013_Corstorphine
"Ladywell Avenue",Broomhall,"Forrester Park Avenue",Kirklands,45.19,1B,P013_Corstorphine
"Ladywell Avenue",Broomhall,"Broomhall Avenue",Kirklands,238.5,1B,P013_Corstorphine
"Ladywell Avenue",Broomhall,"Ladywell Gardens","Dovecot Road",110.3,1B,P013_Corstorphine
"Ladywell Avenue",Broomhall,"Corstorphine High Street","Ladywell Gardens",175.7,1B,P013_Corstorphine
"Ladywell Road",Broomhall,"Ladywell Avenue","Featherhall Avenue",32.05,1B,P013_Corstorphine
"Ladywell Road",Broomhall,"Dunsmuir Court","End of cul de sac",70.18,1B,P013_Corstorphine
"Ladywell Road",Broomhall,"Dunsmuir Court","Featherhall Avenue",203.9,1B,P013_Corstorphine
"Lampacre Road","Carrick Knowe","Meadowhouse Road","Tyler's Acre Road",84.12,1B,P013_Corstorphine
"Lampacre Road","Carrick Knowe","Tyler's Acre Gardens","Carrick Knowe Gardens",43.3,1B,P013_Corstorphine
"Lampacre Road","Carrick Knowe","Tyler's Acre Avenue","Tyler's Acre Gardens",80.19,1B,P013_Corstorphine
"Lampacre Road","Carrick Knowe","Tyler's Acre Avenue","Tyler's Acre Road",85.28,1B,P013_Corstorphine
"Lanark Road",,"Inglis Green Road","Lanark Road",103.2,1B,P029_Gorgie_Slatefor
"Lanark Road",,"Hailes Grove","Lanark Road",129.6,1B,P012_Kingsknowe
"Lanark Road",,"Inglis Green Road","Lanark Road",55.31,1B,P012_Kingsknowe
"Lanark Road",,"Kingsknowe Park","Kingsknowe Drive",194.6,1B,P012_Kingsknowe
"Lanark Road",,"Lanark Road","Craiglockhart Avenue",57.08,1B,P029_Gorgie_Slatefor
"Lanark Road",,"Redhall View","Redhall Bank Road",195.5,1B,P012_Kingsknowe
"Lanark Road",,"Lanark Road","Lanark Road",117.9,1B,P029_Gorgie_Slatefor
"Lanark Road",,"Lanark Road","Redhall View",185.5,1B,P012_Kingsknowe
"Lanark Road",,"Craiglockhart Avenue","Slateford Road",22.83,1B,P029_Gorgie_Slatefor
"Lanark Road",,"Kingsknowe Drive","Dovecot Grove",72.62,1B,P012_Kingsknowe
"Lanark Road",,"Dovecot Grove","Lanark Road",180.5,1B,P012_Kingsknowe
"Lanark Road",,"Redhall Bank Road","Lanark Road",132.6,1B,P012_Kingsknowe
"Lanark Road",,"Dovecot Park","Kingsknowe Park",114.1,1B,P012_Kingsknowe
"Lanark Road",,"Kingsknowe Road South","Dovecot Park",158.6,1B,P012_Kingsknowe
"Lanark Road",,"Lanark Road","Kingsknowe Road South",89.28,1B,P012_Kingsknowe
"Lanark Road",,"Lanark Road","Hailes Avenue",46.76,1B,P012_Kingsknowe
"Lanark Road",,"Hailes Park","Hailes Grove",117.8,1B,P012_Kingsknowe
"Lanark Road",,"The Green Way","Hailes Park",173.8,1B,P012_Kingsknowe
"Lanark Road",,"Spylaw Bank Road","The Green Way",103.7,1B,P012_Kingsknowe
"Lanark Road",,"Gillespie Road","Spylaw Park",118.5,1B,P012_Kingsknowe
"Lanark Road",,"Spylaw Park","Spylaw Bank Road",144.8,1B,P012_Kingsknowe
"Lanark Road",,"Baberton Crescent","Foulis Crescent",98.6,1A,P008_Currie
"Lanark Road",,"City Of Edinburgh Bypass","Baberton Crescent",68.86,1A,P008_Currie
"Lanark Road",,"City Of Edinburgh Bypass","Gillespie Road",312.2,1A,P008_Currie
"Lanark Road",,"Foulis Crescent","Woodhall Drive",371.1,1A,P008_Currie
"Lanark Road",,"Woodhall Drive","Baberton Avenue",111.5,1A,P008_Currie
"Lanark Road",,Juniperlee,"Juniper Avenue",87.98,1A,P008_Currie
"Lanark Road",,"Baberton Avenue",Juniperlee,207.5,1A,P008_Currie
"Lanark Road",,"Juniper Avenue","Lanark Road West",156.9,1A,P008_Currie
"Lanark Road West",Curriehill,"Ravelrig Park","Ravelrig Hill",87.44,1A,P007_Balerno
"Lanark Road West",Curriehill,"End of cul de sac","Ravelrig Park",379.6,1A,P007_Balerno
"Lanark Road West",Curriehill,"Ravelrig Road","Lanark Road West",150.7,1A,P007_Balerno
"Lanark Road West",Curriehill,"Lanark Road West","Bridge Road",297.4,1A,P007_Balerno
"Lanark Road West",Curriehill,"Bridge Road","Newmills Road",448.3,1A,P007_Balerno
"Lanark Road West",Curriehill,"Newmills Road","Waulkmill Loan",527.9,1A,P007_Balerno
"Lanark Road West",Curriehill,"Waulkmill Loan","Stewart Road",91.44,1A,P007_Balerno
"Lanark Road West",Curriehill,"Stewart Road","Dolphin Avenue",350,1A,P007_Balerno
"Lanark Road West",Curriehill,"Curriehill Road","Dolphin Avenue",435.7,1A,P007_Balerno
"Lanark Road West",Curriehill,"Curriehill Road","Riccarton Mains Road",215.6,1A,P007_Balerno
"Lanark Road West",Curriehill,Kirkgate,"Riccarton Mains Road",66.75,1A,P008_Currie
"Lanark Road West",Curriehill,"Bryce Road",Kirkgate,238.7,1A,P008_Currie
"Lanark Road West",Curriehill,"End of cul de sac","Bryce Road",756.6,1A,P008_Currie
"Lanark Road West",Curriehill,"Lanark Road","Muir Wood Road",164.9,1A,P008_Currie
"Lasswade Road","Hyvots Bank","Gilmerton Dykes Drive","Gilmerton Dykes Avenue",190.8,1A,P004_Inch_Moredun
"Lasswade Road","Hyvots Bank",Kirkgate,"Park Crescent",93.32,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Park Crescent","Yewlands Gardens",129.3,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Yewlands Gardens","Longformacus Road",123.9,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Longformacus Road","Little Road",107.8,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Gilmerton Dykes Avenue","The Murrays",219.2,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Captain's Road","Gilmerton Dykes Avenue",310.5,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Little Road","Gracemount Avenue",220.4,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Lasswade Road","Captain's Road",154.6,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Gracemount Avenue","Ellen's Glen Road",165.8,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Lockerby Cottages","Lasswade Road",56.73,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Lockerby Crescent","Lockerby Cottages",83.74,1A,P003_Liberton
"Lasswade Road","Hyvots Bank","Ellen's Glen Road","Lockerby Crescent",144.2,1A,P003_Liberton
"Lauderdale Street",Bruntsfield,"Spottiswoode Road","Warrender Park Road",207.5,1B,P017_Morningside_Bru
"Laurel Terrace",Polwarth,"Slateford Road","Slateford Road",43.16,1B,P029_Gorgie_Slatefor
"Laurie Street","South Leith","St Andrew Place","Constitution Street",68.04,1B,"P025_Leith Route"
"Lauriston Gardens",Newington,"Panmure Place","Lauriston Place",193.6,1B,P017_Morningside_Bru
"Lauriston Gardens",Newington,"Lonsdale Terrace","Panmure Place",79.4,1B,P017_Morningside_Bru
"Lauriston Place",Southside,"Lauriston Street","Lady Lawson Street",69.17,1A,P002_CityCentreSouth
"Lauriston Place",Southside,"Lauriston Place","Home Street",36.24,1B,P017_Morningside_Bru
"Lauriston Place",Southside,"West Tollcross","Lauriston Place",44.98,1A,P002_CityCentreSouth
"Lauriston Place",Southside,"Heriot Place","Forrest Road",272.1,1A,P002_CityCentreSouth
"Lauriston Place",Southside,"Lauriston Place","Lauriston Street",205.3,1A,P002_CityCentreSouth
"Lauriston Place",Southside,"Chalmers Street","Heriot Place",165,1A,P002_CityCentreSouth
"Lauriston Place",Southside,"Lady Lawson Street","Chalmers Street",84.46,1A,P002_CityCentreSouth
"Laverockdale Crescent",Colinton,"Bonaly Crescent","Dreghorn Loan",145.4,1A,P009_Colinton
Lawnmarket,"Old Town","High Street",Lawnmarket,110.6,1A,P002_CityCentreSouth
"Leamington Terrace",Bruntsfield,"Bruntsfield Place","Westhall Gardens",104.6,1B,P017_Morningside_Bru
"Leamington Walk",Bruntsfield,"Meadow Place","Leamington Walk",48.91,1A,P002_CityCentreSouth
"Leamington Walk",Bruntsfield,"Bruntsfield Place","Whitehouse Loan",186.6,1A,P002_CityCentreSouth
"Leamington Walk",Bruntsfield,"End of cul de sac","Leamington Walk",553.3,1A,P002_CityCentreSouth
"Leith Street","New Town","Greenside Row","Calton Road",23.79,1B,"P025_Leith Route"
"Leith Street","New Town","St James Centre","Princes Street",92.21,1B,"P025_Leith Route"
"Leith Street","New Town","Leith Walk","Little King Street",42.55,1B,"P025_Leith Route"
"Leith Street","New Town","Little King Street","Leith Street",119.1,1B,"P025_Leith Route"
"Leith Street","New Town","Leith Street","St James Centre",113.3,1B,"P025_Leith Route"
"Leith Street","New Town","Calton Hill","Waterloo Place",141,1B,"P025_Leith Route"
"Leith Street","New Town","Leith Walk","Greenside Row",175.8,1B,"P025_Leith Route"
"Leith Street","New Town","Calton Road","Calton Hill",34.55,1B,"P025_Leith Route"
"Leith Walk",Albion,"Lorne Street","Balfour Street",115.4,1B,"P025_Leith Route"
"Leith Walk",Albion,"Pilrig Street","Iona Street",35.72,1B,"P025_Leith Route"
"Leith Walk",Albion,Middlefield,"Crighton Place",77.57,1B,"P025_Leith Route"
"Leith Walk",Albion,"Iona Street","Dalmeny Street",162.5,1B,"P025_Leith Route"
"Leith Walk",Albion,"Dalmeny Street","Iona Street",160.2,1B,"P025_Leith Route"
"Leith Walk",Albion,"Balfour Street","Dalmeny Street",71.28,1B,"P025_Leith Route"
"Leith Walk",Albion,"Dalmeny Street","Balfour Street",69.92,1B,"P025_Leith Route"
"Leith Walk",Albion,Newkirkgate,"Manderston Street",180.3,1B,"P025_Leith Route"
"Leith Walk",Albion,"Manderston Street","Stead's Place",171.3,1B,"P025_Leith Route"
"Leith Walk",Albion,"Stead's Place","Lorne Street",131.9,1B,"P025_Leith Route"
"Lennox Row",Trinity,"Lomond Road","Stirling Road",104,1B,P026_Trinity
"Lennox Row",Trinity,"Trinity Road","Lomond Road",98.25,1B,P026_Trinity
"Leopold Place",Broughton,"Leopold Place","Windsor Street",53.15,1B,"P025_Leith Route"
"Leopold Place",Broughton,"Elm Row","Leopold Place",59.01,1B,"P025_Leith Route"
"Leopold Place",Broughton,"Windsor Street","Hillside Crescent",110.2,1B,"P025_Leith Route"
"Leslie Place",Stockbridge,"Haugh Street","Carlton Street",151.2,1B,P027_Stockbridge
"Leven Street",Newington,"Gilmore Place","Valleyfield Street",49.1,1B,P017_Morningside_Bru
"Leven Street",Newington,"Valleyfield Street","End of cul de sac",80.57,1B,P017_Morningside_Bru
"Liberton Brae",Alnwickhill,"Orchardhead Road","Braefoot Terrace",165.5,1A,P003_Liberton
"Liberton Brae",Alnwickhill,"Alnwickhill Road","Orchardhead Road",237.3,1A,P003_Liberton
"Liberton Brae",Alnwickhill,"Orchardhead Loan","Alnwickhill Road",100.3,1A,P003_Liberton
"Liberton Brae",Alnwickhill,"Hawkhead Crescent","Orchardhead Loan",139.9,1A,P003_Liberton
"Liberton Brae",Alnwickhill,"Cadogan Road","Hawkhead Crescent",142,1A,P003_Liberton
"Liberton Brae",Alnwickhill,"Liberton Drive","Cadogan Road",86.84,1A,P003_Liberton
"Liberton Dams",Mayfield,"Mayfield Road","Liberton Road",67.99,1A,P004_Inch_Moredun
"Liberton Gardens",Alnwickhill,"Alnwickhill Road","Liberton Gardens",61.35,1A,P003_Liberton
"Liberton Gardens",Alnwickhill,"Liberton Place","Liberton Brae",79.38,1A,P003_Liberton
"Liberton Gardens",Alnwickhill,"Longformacus Road","Liberton Place",152.1,1A,P003_Liberton
"Liberton Gardens",Alnwickhill,"Little Road","Longformacus Road",116.3,1A,P003_Liberton
"Liberton Gardens",Alnwickhill,"St Katharine's Brae","Little Road",314.1,1A,P003_Liberton
"Liberton Gardens",Alnwickhill,"Liberton Gardens","St Katharine's Brae",156.7,1A,P003_Liberton
"Liberton Road",Mayfield,"Liberton Road","Liberton Dams",70.46,1A,P004_Inch_Moredun
"Liberton Road",Mayfield,"Gilmerton Road","Craigmillar Park",218.5,1B,P018_Sciennes_Newing
"Liberton Road",Mayfield,"Mid Liberton","Gilmerton Road",160.7,1A,P004_Inch_Moredun
"Liberton Road",Mayfield,"Gordon Terrace","Mid Liberton",137.6,1A,P004_Inch_Moredun
"Liberton Road",Mayfield,"Gordon Terrace","Liberton Road",60.37,1A,P004_Inch_Moredun
"Lilyhill Terrace",Willowbrae,"Meadowbank Crescent","Scone Gardens",57.6,1B,P022_Northfield
"Lilyhill Terrace",Willowbrae,"Queen's Park Court","Abercorn Road",136.8,1B,P022_Northfield
"Lilyhill Terrace",Willowbrae,"Scone Gardens","Queen's Park Court",92.66,1B,P022_Northfield
"Lindsay Road",Newhaven,Anchorfield,Bathfield,39.54,1B,"P025_Leith Route"
"Links Gardens","South Leith","Links Gardens Lane","Restalrig Road",212.9,1B,P024_Lochend_Restalr
"Links Gardens","South Leith","Links Gardens Lane","End of cul de sac",126.7,1B,P024_Lochend_Restalr
"Livingstone Place",Bruntsfield,"Melville Terrace","Sciennes Road",177.3,1B,P018_Sciennes_Newing
"Loaning Road",Restalrig,"Loaning Crescent","Loaning Crescent",127.7,1B,P024_Lochend_Restalr
"Loaning Road",Restalrig,"Craigentinny Road","Loaning Crescent",90.05,1B,P024_Lochend_Restalr
"Loaning Road",Restalrig,"Loaning Crescent","Loganlea Gardens",171.6,1B,P024_Lochend_Restalr
"Loaning Road",Restalrig,"Loganlea Gardens","Restalrig Road South",92.32,1B,P024_Lochend_Restalr
"Loch Road","South Queensferry","Stewart Terrace","The Loan",123.3,1B,"P015_South Queensfer"
"Lochend Road",Lochend,"Hermitage Park Grove","Lochend Road",38.6,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Hawkhill Avenue","Lochend Park",53.92,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Hawkhill Avenue","Lochend Road",105.9,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Vanburgh Place","Burns Street",81.58,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Hermitage Park","Hermitage Park Grove",171.6,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Woodville Terrace","Hermitage Park",84.31,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Restalrig Terrace","Woodville Terrace",164.5,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Primrose Street","Restalrig Terrace",68.51,1B,P024_Lochend_Restalr
"Lochend Road",Lochend,"Burns Street","Primrose Street",49.42,1B,P024_Lochend_Restalr
"Lochend Road South",Meadowbank,"Lochend Gardens","Marionville Road",185.6,1B,P024_Lochend_Restalr
"Lochend Road South",Meadowbank,"Lochend Road South","Lochend Castle Barns",131.7,1B,P024_Lochend_Restalr
"Lochend Road South",Meadowbank,"Lochend Castle Barns","Lochend Gardens",83.83,1B,P024_Lochend_Restalr
"Lochend Road South",Meadowbank,"Lochend Park","Lochend Road South",65.84,1B,P024_Lochend_Restalr
"Loganlea Drive",Restalrig,"Loganlea Gardens","Loganlea Avenue",142.8,1B,P024_Lochend_Restalr
"Loganlea Drive",Restalrig,"Restalrig Avenue","Loganlea Gardens",112.1,1B,P024_Lochend_Restalr
"Loganlea Drive",Restalrig,"Loganlea Avenue","Craigentinny Road",197.3,1B,P024_Lochend_Restalr
"Loganlea Drive",Restalrig,"Loganlea Avenue","Loganlea Avenue",99.15,1B,P024_Lochend_Restalr
"Loganlea Gardens",Restalrig,"Loganlea Drive","Loaning Road",149.2,1B,P024_Lochend_Restalr
"London Road",,"Dalziel Place","Marionville Road",107.4,1B,P024_Lochend_Restalr
"London Road",,"London Road","Abbey Lane",34.86,1B,P024_Lochend_Restalr
"London Road",,"London Road","Abbey Street",40,1B,P024_Lochend_Restalr
"London Road",,"London Road","Clockmill Lane",73.25,1B,P024_Lochend_Restalr
"London Road",,"Hillside Crescent","Hillside Crescent",317.6,1B,"P025_Leith Route"
"London Road",,"Parsons Green Terrace","London Road",40.04,1B,P024_Lochend_Restalr
"London Road",,"London Road","London Road",79.13,1B,P024_Lochend_Restalr
"London Road",,"Marionville Road","London Road",117.7,1B,P024_Lochend_Restalr
"London Road",,"Carlyle Place","London Road",50.32,1B,P024_Lochend_Restalr
"London Road",,"Montrose Terrace","Abbey Street",28.02,1B,P024_Lochend_Restalr
"London Road",,"Maryfield Place","Montrose Terrace",41.54,1B,P024_Lochend_Restalr
"London Road",,"Clockmill Lane","London Road",178.4,1B,P024_Lochend_Restalr
"London Road",,"London Road","Wishaw Terrace",32.89,1B,P024_Lochend_Restalr
"London Road",,"Brunton Place","Maryfield Place",84.88,1B,P024_Lochend_Restalr
"Longstone Grove",Kingsknowe,"Longstone Grove","End of cul de sac",161,1B,P012_Kingsknowe
"Longstone Grove",Kingsknowe,"Kingsknowe Road North","Longstone Grove",90.92,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Road","Longstone Crescent",59.14,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Parkhead Loan","Parkhead Drive",85.06,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Millbrae Wynd","Inglis Green Road",55.32,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Park","Millbrae Wynd",56.34,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Avenue","Kingsknowe Road North",105.8,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Road","Parkhead Drive",79.51,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Calder Road","Parkhead Loan",141.8,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Crescent","Longstone Crescent",102.5,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Longstone Crescent","Longstone Avenue",59.85,1B,P012_Kingsknowe
"Longstone Road",Kingsknowe,"Kingsknowe Road North","Longstone Road",75.59,1B,P012_Kingsknowe
